Longitude,Latitude,WELL.ID,SOURCE,Arsenic,Barium,Calcium,Chloride,Chromium,Fluoride,Iron,Magnesium,Manganese,Nickel,Nitrate.as.N,Potassium,Selenium,Sodium,Sulfate,Uranium,Vanadium
-121.864,39.7574,103019,LLNL,3.2,110,93000,59000,0.213809283,290,11.93585366,17000,140,3.670470465,9900,14000,2.434716994,61000,140000,14.925,4.7
-121.864,39.7574,103019,LLNL,4,130,73000,76000,2.2,340,8.469483647,14000,76,4.40374503,9600,16000,2.858969343,87000,150000,16.5,8.7
-121.864,39.7574,103019,LLNL,3.2,120,90000,69000,0.584515523,300,6.884919526,16000,120,3.63144101,9700,13000,2.525786883,76000,140000,15,4.8
-121.8378,39.7353,103020,LLNL,2.2,44,46000,89000,1.1,500,13.83495486,13000,24,1.127415861,7000,5100,2.341661559,70000,76000,1.11,5.2
-121.8378,39.7353,103020,LLNL,2.1,38,53000,93000,0.485312165,460,11.51682514,15000,21,0.623742293,9200,6200,1.247942302,77000,92000,1.11,3.8
-121.7704,38.5744,103029,LLNL,15,67,42000,3700000,0.206303347,120,370,46000,36,3.924345865,305.6505047,37000,77,2200000,465.0687258,0.226829231,0.883541568
-121.7704,38.5744,103029,LLNL,16,67,42000,3600000,3.963298158,120,340,47000,39,3.95838739,2553.895272,35000,73,2200000,204.9256532,3.431658247,9.70396542
-121.7571,38.5318,103030,LLNL,1.5,28,21000,440000,1.6,230,230,12000,47,4.316344322,1051.730558,16000,6.6,590000,88.99401862,0.245403674,3.2
-121.7571,38.5318,103030,LLNL,1.7,26,22000,420000,1.6,210,230,13000,48,4.125863411,527.278308,20000,6.6,6.00E+05,244.4468626,0.084618755,2.951140317
-121.7782,38.5472,103034,LLNL,0.01456088,63,75000,31000,0.399169139,390,24,16000,33,0.182385612,703.8291564,3100,2.781613189,46000,110000,8.85,2.383885944
-121.7782,38.5472,103034,LLNL,0.565127713,67,74000,30000,0.875645147,380,23,16000,35,3.174536901,675.9747866,3000,1.228376662,46000,110000,9.3,2.631225184
-120.7992778,37.75711111,CE-QPC-01,USGS,1.2,43.2,24400,8890,0.96,80,1.095345379,10200,0.381141958,0.160704222,4340,2650,0.037524275,15600,10500,0.312,7.3
-120.7455,37.64116667,CE-QPC-02,USGS,3.9,125,30500,18900,1.2,170,37.1,19600,3.2,0.27,6800,4490,0.06,18900,10500,1.095,19.7
-120.7455,37.64116667,CE-QPC-02,USGS,4.3,91.5,22100,11400,1.8,170,3.232143019,14400,0.076951892,0.43,3990,3950,0.11,18400,10400,0.7995,17.9
-121.3289722,38.28752778,COS-08,USGS,19.3,152,9470,7720,0.17189856,80,102,6460,154,0.102613933,238,1230,0.07,29800,3450,0.2085,3
-121.3289722,38.28752778,COS-08,USGS,21.5,136,9430,7420,0.026306083,90,81,6150,132,0.095307361,176,1350,0.07,30200,3080,0.159,1.5
-121.2266944,38.21766667,COS-10,USGS,1.5,170,36800,23800,5.3,120,1.150005841,20400,0.399421601,0.48,4590,3480,0.27,17400,9560,0.3225,20.2
-120.2486056,36.65091111,DM-01,USGS,15.7,14.2,15000,56700,0.022145211,850,40.1,1550,93.1,0.07,4.31301808,2290,0.025271053,205000,319000,2.1,0.42
-120.8532483,37.05272323,DM-03,USGS,7.1,65.5,52100,92500,30.55,120,5.466801616,28600,0.175640541,0.47,4660,2370,0.95,76100,77400,3.165,12.1
