Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Zürich / Fluntern
Altitude [m asl]:         556 m
Coordinates:              47° 22.7' N / 8° 33.9' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.01.2021


Year  Month        Temperature      Precipitation  
1926     10                9.0              118.0  
1926     11                5.0               43.6  
1926     12               -1.0               27.2  
1927      1                0.4               76.8  
1927      2               -0.2               70.3  
1927      3                4.9              111.4  
1927      4                8.3              105.3  
1927      5               12.8               78.9  
1927      6               15.3              132.8  
1927      7               17.4              136.2  
1927      8               15.9              203.1  
1927      9               13.4              155.4  
1927     10                8.1               30.4  
1927     11                3.7               48.3  
1927     12               -1.0               31.3  
1928      1                1.9               49.8  
1928      2                2.6               70.1  
1928      3                4.3               48.5  
1928      4                7.9               76.0  
1928      5                9.9              119.2  
1928      6               15.7               81.6  
1928      7               20.6               26.0  
1928      8               17.9              144.1  
1928      9               13.2               85.3  
1928     10                8.4               63.1  
1928     11                5.4              120.7  
1928     12                0.1               75.7  
1929      1               -5.1               32.8  
1929      2               -7.4               18.0  
1929      3                3.6               24.2  
1929      4                5.4              113.9  
1929      5               12.9               56.6  
1929      6               16.4              130.3  
1929      7               18.3              126.0  
1929      8               16.9               88.1  
1929      9               16.4               64.3  
1929     10                9.6              116.5  
1929     11                4.0               39.2  
1929     12                3.3              105.4  
1930      1                1.2               31.6  
1930      2               -0.3               17.3  
1930      3                4.9               71.3  
1930      4                8.7              162.3  
1930      5               11.0              179.9  
1930      6               18.2               81.2  
1930      7               15.9              257.0  
1930      8               16.3              129.7  
1930      9               13.9               69.9  
1930     10                8.5              148.4  
1930     11                6.4              117.2  
1930     12                1.0               44.4  
1931      1               -0.3               93.0  
1931      2               -1.2               86.1  
1931      3                0.5              123.8  
1931      4                6.8               81.9  
1931      5               14.5              118.4  
1931      6               17.4              138.5  
1931      7               16.3              192.1  
1931      8               14.9              166.9  
1931      9                9.2               92.0  
1931     10                7.3               68.0  
1931     11                4.6               17.5  
1931     12               -0.9               50.9  
1932      1               -0.2               47.9  
1932      2               -3.6                7.8  
1932      3                1.4              101.5  
1932      4                6.6               67.4  
1932      5               11.2              122.9  
1932      6               14.4               95.6  
1932      7               16.2              243.9  
1932      8               18.8               95.8  
1932      9               16.2               47.6  
1932     10                8.8              101.0  
1932     11                4.3               47.1  
1932     12               -0.2               12.6  
1933      1               -3.3               38.9  
1933      2                0.2               57.2  
1933      3                4.9               43.7  
1933      4                8.3               68.8  
1933      5               10.5              196.5  
1933      6               12.9              191.5  
1933      7               18.2               97.1  
1933      8               18.2               61.3  
1933      9               14.0               83.6  
1933     10                9.0              114.4  
